"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Anp32a",0.0282318915529843,0.493543009406042,1,1,1,"Anp32a","OM"
"Akap13",0.0285683412490386,0.496536689313741,1,1,1,"Akap13","OM"
"Hagh",0.0286994917414292,0.682267674580449,1,0.667,1,"Hagh","OM"
"Ptprs",0.0287354318237786,-0.654237442160874,0.333,1,1,"Ptprs","OM"
"Mki67",0.0289275896890898,0.776681576172117,1,1,1,"Mki67","OM"
"Actg1",0.0290486423174927,0.370735146091685,1,1,1,"Actg1","OM"
"Terf1",0.0292830155727616,-0.727353122737608,0.667,1,1,"Terf1","OM"
"Arhgdib",0.0297436409788641,0.417760752151201,1,1,1,"Arhgdib","OM"
"Ptpn11",0.0300336291966522,0.779035074449869,1,1,1,"Ptpn11","OM"
"Gabbr1",0.030311806730581,-0.686026432488487,1,1,1,"Gabbr1","OM"
"Def6",0.0303437375588112,0.828982209987064,1,1,1,"Def6","OM"
"Igfbp4",0.0305638415262231,0.82913320009706,1,1,1,"Igfbp4","OM"
"Smim14",0.0307834895138492,-0.601444522176623,1,1,1,"Smim14","OM"
"Ankrd13a",0.030830974921615,-0.656802668875038,1,1,1,"Ankrd13a","OM"
"Mvp",0.0309004259754663,0.669716858025789,1,0.667,1,"Mvp","OM"
"Nop56",0.0309506957063059,0.761731904637422,1,1,1,"Nop56","OM"
"Cope",0.0311093511753972,0.695883368680805,1,1,1,"Cope","OM"
"Asnsd1",0.0315276793638627,0.74558089394329,1,1,1,"Asnsd1","OM"
"Nrgn",0.0318496459511453,1.53209717700997,1,1,1,"Nrgn","OM"
"Ost4",0.0318706517535422,-0.475944078100824,1,1,1,"Ost4","OM"
"Hjurp",0.031923340010628,0.710557286769065,1,1,1,"Hjurp","OM"
"Gm43305",0.0321113772538905,-0.627803910611486,0.667,1,1,"Gm43305","OM"
"Rxrb",0.0321883855752004,-0.674468828119668,1,1,1,"Rxrb","OM"
"Impdh1",0.0322124705598659,-0.482138526617237,0,1,1,"Impdh1","OM"
"Ms4a6b",0.0324950213900097,0.533442901411418,1,1,1,"Ms4a6b","OM"
"Pik3cd",0.0325789867996686,-0.556594776896072,1,1,1,"Pik3cd","OM"
"Abhd4",0.0325987417507436,0.608703265006455,1,0.333,1,"Abhd4","OM"
"H3f3a",0.0326346689481801,-0.213596352041166,1,1,1,"H3f3a","OM"
"Xrcc4",0.0327191059722148,0.723763452652822,1,1,1,"Xrcc4","OM"
"Hbp1",0.0332485766328272,-0.629513156799204,1,1,1,"Hbp1","OM"
"Cox8a",0.0332579936645837,-0.228414340755402,1,1,1,"Cox8a","OM"
"Apobr",0.0340433873450308,0.590146222059034,1,0.333,1,"Apobr","OM"
"Ehmt1",0.0342058197479602,0.74080527173114,1,1,1,"Ehmt1","OM"
"Lgals1",0.0343194126766167,0.788166499350199,1,1,1,"Lgals1","OM"
"Zc3h7b",0.034486008938698,-0.546050138557082,0.333,1,1,"Zc3h7b","OM"
"Tti2",0.0345510822314374,-0.52614122855558,0.333,1,1,"Tti2","OM"
"1600002K03Rik",0.0348336585020399,-0.671887960481903,1,1,1,"1600002K03Rik","OM"
"Bpnt1",0.0350810720936873,0.512935699260262,1,0,1,"Bpnt1","OM"
"Ntmt1",0.0350810720936873,0.512935699260262,1,0,1,"Ntmt1","OM"
"Ccl1",0.0351718035470742,-1.23038292345795,0.667,1,1,"Ccl1","OM"
"Eif4enif1",0.0357098312987834,0.70751797962093,1,1,1,"Eif4enif1","OM"
"Cd48",0.0359865659924401,0.628904646455816,1,1,1,"Cd48","OM"
"Csf2",0.0361825224979433,-0.688762434538153,1,1,1,"Csf2","OM"
"Gm12840",0.0366681927654062,0.793012668420233,1,1,1,"Gm12840","OM"
"BE692007",0.0369078726174315,0.66578355113676,1,1,1,"BE692007","OM"
"Ubl5",0.0369764807107783,-0.328058323181012,1,1,1,"Ubl5","OM"
"Cep162",0.0370237797265761,-0.622895238558054,1,1,1,"Cep162","OM"
"Pin1",0.0370958253516367,0.728172654780945,1,1,1,"Pin1","OM"
"Specc1l",0.0372454868971385,-0.640559899642169,1,1,1,"Specc1l","OM"
"Psme2",0.0373119216114867,0.526978669793811,1,1,1,"Psme2","OM"
"Pcgf6",0.0376280027563771,-0.610938312605011,1,1,1,"Pcgf6","OM"
"AI837181",0.037821686525131,-0.636733200967096,1,1,1,"AI837181","OM"
"Atp5l",0.0380037271153073,-0.250965231586893,1,1,1,"Atp5l","OM"
"Gng5",0.0381740782027261,-0.299572968867179,1,1,1,"Gng5","OM"
"Wdr5",0.0383205320303505,0.668715201140478,1,1,1,"Wdr5","OM"
"Arfgap1",0.0385528654990353,-0.589171811017934,0.667,1,1,"Arfgap1","OM"
"Adcy7",0.0391657610111783,-0.60356062621791,1,1,1,"Adcy7","OM"
"Sptssa",0.0394835531524015,-0.485514593826622,1,1,1,"Sptssa","OM"
"Agtpbp1",0.0396000356660101,-0.608454763040428,0.333,1,1,"Agtpbp1","OM"
"Traf5",0.0396815747266968,0.658280534234367,1,1,1,"Traf5","OM"
"Cebpb",0.0397814273377889,-0.478329836756601,1,1,1,"Cebpb","OM"
"Atp5j2",0.040045770222752,-0.326275941163824,1,1,1,"Atp5j2","OM"
"Hnrnph1",0.0403475508055857,-0.58104634049511,1,1,1,"Hnrnph1","OM"
"Atp6v1b2",0.0405069433412321,0.696845143229451,1,1,1,"Atp6v1b2","OM"
"Thtpa",0.0405309260712738,0.49364505168928,1,0,1,"Thtpa","OM"
"Kdm2a",0.0405590696690078,-0.604894559187244,1,1,1,"Kdm2a","OM"
"Utp3",0.0405960080521483,0.650185751656752,1,1,1,"Utp3","OM"
"Megf9",0.0408761885729594,-0.458684908031296,0,1,1,"Megf9","OM"
"Vim",0.0410698040749362,0.429197824062392,1,1,1,"Vim","OM"
"Mapk1ip1l",0.041086345185528,0.68801601863545,1,1,1,"Mapk1ip1l","OM"
"Trp53inp2",0.0412985458804373,0.499674198382139,1,0,1,"Trp53inp2","OM"
"Mphosph8",0.0413434617022204,0.667285918923658,1,1,1,"Mphosph8","OM"
"Ppargc1b",0.0413735044155279,0.544456040891911,1,0.333,1,"Ppargc1b","OM"
"Hist1h1d",0.041477886766612,0.642354246993664,1,0.667,1,"Hist1h1d","OM"
"Ptma",0.0415877834506413,-0.18107568877911,1,1,1,"Ptma","OM"
"Ptges3",0.0420689024585883,-0.446950604008266,1,1,1,"Ptges3","OM"
"Phf14",0.0427220972034612,0.698134930714798,1,1,1,"Phf14","OM"
"Pfdn4",0.0428072610376667,-0.614000384368258,1,1,1,"Pfdn4","OM"
"Unc93b1",0.0431328442902676,-0.581646992387746,0.667,1,1,"Unc93b1","OM"
"Zbtb8a",0.0433979832127255,0.48151063874309,1,0,1,"Zbtb8a","OM"
"Sdf4",0.0435682759511669,0.620618353501445,1,1,1,"Sdf4","OM"
"Ddt",0.0436906246233885,0.676440299662225,1,1,1,"Ddt","OM"
"Arhgap35",0.0437406706610209,-0.538944655607437,0.333,1,1,"Arhgap35","OM"
"Coro1a",0.0438113883481666,0.382583558863365,1,1,1,"Coro1a","OM"
"AW011738",0.0440501755727628,0.696389507094693,1,0.667,1,"AW011738","OM"
"Ppil1",0.0442747310604619,0.672899548428161,1,1,1,"Ppil1","OM"
"Sec16a",0.0443628924164853,-0.630673138898719,1,1,1,"Sec16a","OM"
"Daxx",0.0443938314482596,0.676453558089264,1,0.667,1,"Daxx","OM"
"Scap",0.0444351954436885,-0.631261562203172,0.667,1,1,"Scap","OM"
"Trmt112",0.0445175487300155,-0.44629285012347,1,1,1,"Trmt112","OM"
"Cyp51",0.0445221731544029,0.715250637823047,1,1,1,"Cyp51","OM"
"Prpf39",0.0447276695488202,-0.722070582531415,0.667,1,1,"Prpf39","OM"
"Tap1",0.0448225536258355,0.688237767806017,1,1,1,"Tap1","OM"
"Nup88",0.0451537234176645,0.697420307863504,1,0.667,1,"Nup88","OM"
"Zmynd19",0.0453156039166743,0.52717192316379,1,0.333,1,"Zmynd19","OM"
"Rilpl2",0.0454441887149062,0.712811391055033,1,1,1,"Rilpl2","OM"
"Adam15",0.0455087666183888,0.494330782851266,1,0,1,"Adam15","OM"
"Zfp800",0.0460810584954105,0.737807723194384,1,1,1,"Zfp800","OM"
"Mcm3ap",0.0460859151228427,0.65430788414501,1,0.333,1,"Mcm3ap","OM"
"AW112010",0.0460980218819576,0.777481770990535,1,1,1,"AW112010","OM"
"Naxd",0.0461846998634952,-0.604695545047207,1,1,1,"Naxd","OM"
