"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arpc310",0.00831471178576472,0.306235152294102,0.887,0.72,1,"28","Arpc3"
"Jmjd1c2",0.00891227750534464,0.288030760561912,0.496,0.35,1,"28","Jmjd1c"
"Ubxn13",0.00965563686227041,0.343735989956149,0.733,0.541,1,"28","Ubxn1"
"Myo1c3",0.00980662334362005,0.664974049319079,0.294,0.153,1,"28","Myo1c"
"Neurod1",5.95568632645756e-107,7.77253853144822,0.981,0.009,1.49660441697552e-102,"29","Neurod1"
"Rbm243",1.90285571727911e-103,6.36384345416787,0.975,0.035,4.78168613195069e-99,"29","Rbm24"
"Sox111",2.20912045604512e-103,5.43156526881854,0.998,0.079,5.55129879399579e-99,"29","Sox11"
"Cenpf2",4.70573380445671e-102,6.76637362168035,0.96,0.03,1.18250384772193e-97,"29","Cenpf"
"H1fx1",4.72684599758626e-99,5.71316269831048,0.953,0.056,1.18780913073345e-94,"29","H1fx"
"Mex3a1",1.10807767808354e-98,5.68666598101049,0.968,0.037,2.78448839725614e-94,"29","Mex3a"
"Stmn15",4.08541200952444e-98,3.96031575876472,1,0.255,1.0266231838734e-93,"29","Stmn1"
