"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Pcbp2",1.68073418896672e-25,-0.707020831122591,1,1,4.22351694345448e-21,"Pcbp2","RM"
"Tax1bp1",1.81206272585546e-25,-0.91070281112583,1,1,4.55353242380219e-21,"Tax1bp1","RM"
"Ptpn13",2.4062413110773e-25,-1.17227545428264,1,1,6.04664379060614e-21,"Ptpn13","RM"
"H2-Q7",3.62879913996423e-25,1.44101081254748,1,1,9.11880935881611e-21,"H2-Q7","RM"
"Ndufv3",5.05219312848926e-25,-0.945934701470948,1,1,1.26956561125807e-20,"Ndufv3","RM"
"Selenok",7.50658594084758e-25,-0.970088421510983,1,1,1.88632998107559e-20,"Selenok","RM"
"Eif4g2",7.52248465634927e-25,-0.691287804514779,1,1,1.89032516929401e-20,"Eif4g2","RM"
"Bsg",1.08048096378103e-24,-0.907569928188243,1,1,2.71514061388535e-20,"Bsg","RM"
"Gabarapl2",1.3007178441923e-24,-0.925763793097795,1,1,3.26857387067084e-20,"Gabarapl2","RM"
"Hnrnpk",1.69673120197571e-24,-0.631782909316225,1,1,4.26371583744476e-20,"Hnrnpk","RM"
"Ywhae",1.89330524029546e-24,-0.769844301656079,1,1,4.75768673833846e-20,"Ywhae","RM"
"Hmgn3",4.18242199520338e-24,-1.36114037497302,1,1,1.05100082317466e-19,"Hmgn3","RM"
"Rps28",4.30214095716807e-24,-0.453334325715107,1,1,1.08108500112676e-19,"Rps28","RM"
"Malat1",5.68148224505105e-24,-0.424087212966009,1,1,1.42769967335888e-19,"Malat1","RM"
"Tiparp",6.27081618547365e-24,-1.1214894473447,1,1,1.57579339924767e-19,"Tiparp","RM"
"Rps23",7.23096920073362e-24,-0.380106822122536,1,1,1.81707025045235e-19,"Rps23","RM"
"Dnajc15",7.55867807362538e-24,1.56133978103225,1,1,1.89942021312132e-19,"Dnajc15","RM"
"Prdx2",1.00601998110362e-23,-0.857730118254516,1,1,2.52802761051528e-19,"Prdx2","RM"
"Cd8b1",1.21124772750266e-23,2.00909964971214,1,1,3.04374441444142e-19,"Cd8b1","RM"
"S100a11",2.23363020998668e-23,-0.659072747623816,1,1,5.61288935467552e-19,"S100a11","RM"
"Gimap4",3.04645415093691e-23,1.59650503902081,1,1,7.65543463588935e-19,"Gimap4","RM"
"Rpl10",3.50373572887822e-23,-0.403187855622933,1,1,8.80453751309809e-19,"Rpl10","RM"
"Kcnk1",3.59752713833736e-23,-1.47781412714723,1,1,9.04022594592795e-19,"Kcnk1","RM"
"Tpt1",4.48892136313332e-23,-0.312941065904943,1,1,1.12802104934177e-18,"Tpt1","RM"
"Uqcr11",5.82857868021763e-23,-0.890653821263211,1,1,1.46466353655189e-18,"Uqcr11","RM"
"Gpx1",7.63496179483717e-23,-1.01604841886197,1,1,1.91858954942463e-18,"Gpx1","RM"
"Cox6a1",7.93983150591123e-23,-0.684800694252704,1,1,1.99520025912043e-18,"Cox6a1","RM"
