"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Fuca1",0.0397385418513354,-1.28347633712319,0.333,1,1,"Fuca1","LNG"
"P2rx7",0.0399185203271325,-1.189860301178,0.333,1,1,"P2rx7","LNG"
"Klf13",0.0400450959831122,-0.856696131825848,1,1,1,"Klf13","LNG"
"Prdx2",0.0400891106633867,0.802556580119019,1,1,1,"Prdx2","LNG"
"Pml",0.0404696514228974,-1.21569465087268,0.333,1,1,"Pml","LNG"
"Bcat2",0.0407154352123516,-1.11651455465203,0,1,1,"Bcat2","LNG"
"Tecr",0.0409185886317879,0.860973380015358,1,1,1,"Tecr","LNG"
"Rpl32",0.041366484275619,-0.213977644188879,1,1,1,"Rpl32","LNG"
"Cnot1",0.0416242827640961,-1.18175922575307,0.667,1,1,"Cnot1","LNG"
"Ndufb7",0.0420817451974937,0.637814494512734,1,1,1,"Ndufb7","LNG"
"Cdk9",0.0424118016634422,-1.12408159671583,0.667,1,1,"Cdk9","LNG"
"4732440D04Rik",0.0424406357698945,-1.09025739699683,0.333,1,1,"4732440D04Rik","LNG"
"Icos",0.0426568681406115,-0.795776322557511,1,1,1,"Icos","LNG"
"Atp5f1",0.0428007019873532,0.651621765274754,1,1,1,"Atp5f1","LNG"
"Lbh",0.0428248109270945,-1.0611507048957,1,1,1,"Lbh","LNG"
"Gatad2b",0.0431427301548817,-1.11577601827425,0.333,1,1,"Gatad2b","LNG"
"Lpxn",0.0437831001898971,-1.09784233460585,0.667,1,1,"Lpxn","LNG"
"Colgalt1",0.0439350454538119,-1.02086355372904,0,1,1,"Colgalt1","LNG"
"Pcnx4",0.0439350454538119,-1.02086355372904,0,1,1,"Pcnx4","LNG"
"Vcp",0.0439392432605075,1.01180960176592,1,1,1,"Vcp","LNG"
"Arhgap5",0.0440267871489746,-1.21428703470662,0.333,1,1,"Arhgap5","LNG"
"Sp100",0.0440286520327258,-0.687511103164827,1,1,1,"Sp100","LNG"
"Fosl2",0.044150472802985,1.01985306500729,1,1,1,"Fosl2","LNG"
"Pnrc2",0.044192170780042,-1.16406186835486,0.333,1,1,"Pnrc2","LNG"
"Hist1h1b",0.0443092942195768,3.32313940805379,0.667,0.333,1,"Hist1h1b","LNG"
"Mtx2",0.0443453183257219,-1.00624737874855,0,1,1,"Mtx2","LNG"
"Acot9",0.04455059993535,-1.18421396977177,0.333,1,1,"Acot9","LNG"
"Cyth1",0.0446062373704965,-1.11167424723842,0.667,1,1,"Cyth1","LNG"
"Haghl",0.0450070256041115,1.05893253579437,0.667,0,1,"Haghl","LNG"
"Ppia",0.0450187898794805,-0.212466080426837,1,1,1,"Ppia","LNG"
"6030458C11Rik",0.0456399589912153,-0.99254824145255,0,1,1,"6030458C11Rik","LNG"
"Pgam1",0.0457640940724702,1.24445818359835,1,0.667,1,"Pgam1","LNG"
"Ogt",0.046327007582171,-0.880567670222376,1,1,1,"Ogt","LNG"
"Nudcd3",0.0463911931746366,-1.16393911153508,0.333,1,1,"Nudcd3","LNG"
"Dusp3",0.0468507967362678,0.970289573014297,1,0,1,"Dusp3","LNG"
"Cyth3",0.047238457809404,-1.02863652711935,0,1,1,"Cyth3","LNG"
